149 21
abbgegeqjbhstvswux 9 2
vvhrgdubmwoclzveygmkvuwixyhso 61 10
xezbbpkxdmpnyqh 67 15
dhjjxjbloddfdexwszony 62 5
aifnfbrfkwi 9 10
yktduejelrggtoztncdgjbfw 63 28
kusheepspcsdqplkw 59 22
ytgtnuf 70 17
atffbrhwfyhglzvz 8 19
qitzfzwyegqyetwwzsk 63 6
zymlxbszqioebxhiwfzvvg 70 0
qkptzfivhuidxrfypmkhbkdhvgiki 63 37
atyouyjiycxr 9 4
mrqwptkw 65 21
wmlvzjmhwjxpxwjuwmdrt 54 28
ryistdqvvweq 63 1
amkrjgryxcizhuqjszvnflfrf 8 17
norrpoeghvxnuzjvjc 51 2
urpwpuyhn 65 37
lebsiecdekiyufbwkymwsutdr 57 18
azwvqvxtyox 7 40
